/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for guava_...
Dataset size: (7808, 12)
Class number: 2
Training set size: (6246, 8)
Validating set size: (1562, 8)
Positive examples : 2890
Negative examples : 4918
Preprossing finished, time cost : 0:00:00.271879
Data splited and saved in ../input/guava/var/guava_.var_train.csv and ../input/guava/var/guava_.var_valid.csv
Training set size: (7808, 9)
Validataion set size: (1562, 9)
Training the model...
[0]	train-error:0.189037	eval-error:0.165813
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[488]	train-error:0.084913	eval-error:0.081946
[489]	train-error:0.084657	eval-error:0.081306
[490]	train-error:0.084657	eval-error:0.081306
[491]	train-error:0.084785	eval-error:0.081946
[492]	train-error:0.084657	eval-error:0.081946
[493]	train-error:0.084273	eval-error:0.079385
[494]	train-error:0.084401	eval-error:0.080666
[495]	train-error:0.084273	eval-error:0.079385
[496]	train-error:0.084401	eval-error:0.080026
[497]	train-error:0.084144	eval-error:0.079385
[498]	train-error:0.084144	eval-error:0.079385
[499]	train-error:0.084144	eval-error:0.079385
[500]	train-error:0.083888	eval-error:0.078105
[501]	train-error:0.084273	eval-error:0.079385
[502]	train-error:0.084016	eval-error:0.078105
[503]	train-error:0.083888	eval-error:0.077465
[504]	train-error:0.083632	eval-error:0.076184
[505]	train-error:0.08376	eval-error:0.076184
[506]	train-error:0.08376	eval-error:0.076184
[507]	train-error:0.083632	eval-error:0.076825
[508]	train-error:0.083632	eval-error:0.076825
[509]	train-error:0.083888	eval-error:0.076184
[510]	train-error:0.083632	eval-error:0.076184
[511]	train-error:0.08376	eval-error:0.076825
[512]	train-error:0.083504	eval-error:0.076825
[513]	train-error:0.08376	eval-error:0.077465
[514]	train-error:0.083632	eval-error:0.077465
[515]	train-error:0.083504	eval-error:0.076825
[516]	train-error:0.083504	eval-error:0.077465
[517]	train-error:0.083632	eval-error:0.077465
[518]	train-error:0.083632	eval-error:0.077465
[519]	train-error:0.083632	eval-error:0.077465
[520]	train-error:0.083248	eval-error:0.077465
[521]	train-error:0.083376	eval-error:0.076184
[522]	train-error:0.083248	eval-error:0.076184
[523]	train-error:0.083248	eval-error:0.076184
[524]	train-error:0.083248	eval-error:0.076825
[525]	train-error:0.083504	eval-error:0.076825
[526]	train-error:0.083504	eval-error:0.076825
[527]	train-error:0.08376	eval-error:0.076825
