/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for RxJava_...
Dataset size: (5253, 12)
Class number: 2
Training set size: (4202, 8)
Validating set size: (1051, 8)
Positive examples : 2001
Negative examples : 3252
Preprossing finished, time cost : 0:00:00.067141
Data splited and saved in ../input/RxJava/var/RxJava_.var_train.csv and ../input/RxJava/var/RxJava_.var_valid.csv
Training set size: (5253, 9)
Validataion set size: (1051, 9)
Model file already exists and be removed.
Training the model...
[0]	train-error:0.233581	eval-error:0.2255
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[489]	train-error:0.104131	eval-error:0.102759
[490]	train-error:0.104131	eval-error:0.102759
[491]	train-error:0.104131	eval-error:0.102759
[492]	train-error:0.104131	eval-error:0.103711
[493]	train-error:0.104131	eval-error:0.101808
[494]	train-error:0.103941	eval-error:0.102759
[495]	train-error:0.103941	eval-error:0.102759
[496]	train-error:0.10375	eval-error:0.100856
[497]	train-error:0.104131	eval-error:0.102759
[498]	train-error:0.104512	eval-error:0.102759
[499]	train-error:0.104321	eval-error:0.102759
[500]	train-error:0.104321	eval-error:0.103711
[501]	train-error:0.104321	eval-error:0.103711
[502]	train-error:0.104321	eval-error:0.102759
[503]	train-error:0.104131	eval-error:0.102759
[504]	train-error:0.104512	eval-error:0.101808
[505]	train-error:0.104321	eval-error:0.101808
[506]	train-error:0.103941	eval-error:0.103711
[507]	train-error:0.104131	eval-error:0.103711
[508]	train-error:0.104321	eval-error:0.103711
[509]	train-error:0.104131	eval-error:0.102759
[510]	train-error:0.104131	eval-error:0.103711
[511]	train-error:0.104131	eval-error:0.102759
[512]	train-error:0.104131	eval-error:0.102759
[513]	train-error:0.104131	eval-error:0.103711
[514]	train-error:0.104131	eval-error:0.102759
[515]	train-error:0.104131	eval-error:0.103711
[516]	train-error:0.103941	eval-error:0.103711
[517]	train-error:0.103941	eval-error:0.103711
Stopping. Best iteration:
