/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for chart_26...
Dataset size: (55252, 12)
Class number: 2
Training set size: (44201, 8)
Validating set size: (11051, 8)
Positive examples : 10241
Negative examples : 45011
Preprossing finished, time cost : 0:00:01.476552
Data splited and saved in ../input/chart/var/chart_26.var_train.csv and ../input/chart/var/chart_26.var_valid.csv
Training set size: (55252, 9)
Validataion set size: (11051, 9)
Training the model...
[0]	train-error:0.114819	eval-error:0.116189
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[378]	train-error:0.073988	eval-error:0.074473
[379]	train-error:0.073916	eval-error:0.074201
[380]	train-error:0.07388	eval-error:0.074111
[381]	train-error:0.073807	eval-error:0.074111
[382]	train-error:0.073843	eval-error:0.074292
[383]	train-error:0.073825	eval-error:0.074201
[384]	train-error:0.073843	eval-error:0.074201
[385]	train-error:0.073735	eval-error:0.074473
[386]	train-error:0.073699	eval-error:0.074292
[387]	train-error:0.073735	eval-error:0.074292
[388]	train-error:0.073807	eval-error:0.074292
[389]	train-error:0.073753	eval-error:0.07402
[390]	train-error:0.073753	eval-error:0.074111
[391]	train-error:0.073644	eval-error:0.074111
[392]	train-error:0.073644	eval-error:0.074111
[393]	train-error:0.073626	eval-error:0.074111
[394]	train-error:0.073644	eval-error:0.07393
[395]	train-error:0.073644	eval-error:0.074201
[396]	train-error:0.073572	eval-error:0.07402
[397]	train-error:0.07359	eval-error:0.074111
[398]	train-error:0.07359	eval-error:0.074292
[399]	train-error:0.073572	eval-error:0.074111
[400]	train-error:0.073644	eval-error:0.074382
[401]	train-error:0.073626	eval-error:0.074292
[402]	train-error:0.073626	eval-error:0.074201
[403]	train-error:0.07359	eval-error:0.074292
[404]	train-error:0.073608	eval-error:0.074292
[405]	train-error:0.0735	eval-error:0.073839
[406]	train-error:0.073463	eval-error:0.073749
[407]	train-error:0.0735	eval-error:0.07402
[408]	train-error:0.073445	eval-error:0.073839
[409]	train-error:0.073427	eval-error:0.073658
[410]	train-error:0.073391	eval-error:0.073568
[411]	train-error:0.073518	eval-error:0.073749
[412]	train-error:0.073445	eval-error:0.073478
[413]	train-error:0.073409	eval-error:0.073478
[414]	train-error:0.0735	eval-error:0.073749
[415]	train-error:0.073373	eval-error:0.073478
[416]	train-error:0.073445	eval-error:0.073658
[417]	train-error:0.073355	eval-error:0.073749
[418]	train-error:0.073409	eval-error:0.07393
[419]	train-error:0.073337	eval-error:0.073839
[420]	train-error:0.073282	eval-error:0.073839
[421]	train-error:0.073337	eval-error:0.073658
[422]	train-error:0.073264	eval-error:0.073568
[423]	train-error:0.073246	eval-error:0.073478
[424]	train-error:0.073192	eval-error:0.073206
[425]	train-error:0.07312	eval-error:0.073206
[426]	train-error:0.073192	eval-error:0.073206
[427]	train-error:0.073156	eval-error:0.073568
[428]	train-error:0.073138	eval-error:0.073568
[429]	train-error:0.073101	eval-error:0.073478
[430]	train-error:0.073138	eval-error:0.073387
[431]	train-error:0.073101	eval-error:0.073478
[432]	train-error:0.073029	eval-error:0.073478
[433]	train-error:0.073065	eval-error:0.073568
[434]	train-error:0.073029	eval-error:0.073478
[435]	train-error:0.072993	eval-error:0.073297
[436]	train-error:0.072993	eval-error:0.073206
[437]	train-error:0.072957	eval-error:0.073206
[438]	train-error:0.072993	eval-error:0.073206
[439]	train-error:0.073011	eval-error:0.073206
[440]	train-error:0.073047	eval-error:0.073116
[441]	train-error:0.073047	eval-error:0.073116
[442]	train-error:0.072993	eval-error:0.072935
[443]	train-error:0.072975	eval-error:0.073025
[444]	train-error:0.073065	eval-error:0.073297
[445]	train-error:0.073047	eval-error:0.073478
[446]	train-error:0.073065	eval-error:0.073206
[447]	train-error:0.072993	eval-error:0.072844
[448]	train-error:0.073029	eval-error:0.072935
[449]	train-error:0.073065	eval-error:0.073297
[450]	train-error:0.073065	eval-error:0.073206
[451]	train-error:0.073083	eval-error:0.073297
[452]	train-error:0.07312	eval-error:0.073568
[453]	train-error:0.073101	eval-error:0.073478
[454]	train-error:0.07312	eval-error:0.073568
[455]	train-error:0.073029	eval-error:0.073568
[456]	train-error:0.072993	eval-error:0.073568
[457]	train-error:0.073011	eval-error:0.073478
[458]	train-error:0.072975	eval-error:0.073297
[459]	train-error:0.072957	eval-error:0.073387
[460]	train-error:0.073011	eval-error:0.073387
[461]	train-error:0.072993	eval-error:0.073297
[462]	train-error:0.073047	eval-error:0.073297
[463]	train-error:0.072939	eval-error:0.073206
[464]	train-error:0.072993	eval-error:0.073478
[465]	train-error:0.072957	eval-error:0.073297
[466]	train-error:0.072975	eval-error:0.073297
[467]	train-error:0.072884	eval-error:0.073297
[468]	train-error:0.072884	eval-error:0.073206
[469]	train-error:0.072884	eval-error:0.073206
[470]	train-error:0.072794	eval-error:0.073116
[471]	train-error:0.072758	eval-error:0.073116
[472]	train-error:0.072776	eval-error:0.073116
[473]	train-error:0.072685	eval-error:0.073025
[474]	train-error:0.072649	eval-error:0.072935
[475]	train-error:0.072558	eval-error:0.072844
[476]	train-error:0.07254	eval-error:0.072844
[477]	train-error:0.072558	eval-error:0.072935
[478]	train-error:0.072595	eval-error:0.073025
[479]	train-error:0.072577	eval-error:0.072844
[480]	train-error:0.072577	eval-error:0.072844
[481]	train-error:0.072577	eval-error:0.072754
[482]	train-error:0.072577	eval-error:0.072663
[483]	train-error:0.072577	eval-error:0.072754
[484]	train-error:0.072595	eval-error:0.072754
[485]	train-error:0.07254	eval-error:0.072663
[486]	train-error:0.072558	eval-error:0.072754
[487]	train-error:0.072595	eval-error:0.072663
[488]	train-error:0.072649	eval-error:0.072663
[489]	train-error:0.072595	eval-error:0.072663
[490]	train-error:0.072631	eval-error:0.072573
[491]	train-error:0.072649	eval-error:0.072663
[492]	train-error:0.072577	eval-error:0.072663
[493]	train-error:0.07254	eval-error:0.072663
[494]	train-error:0.072486	eval-error:0.072663
[495]	train-error:0.072432	eval-error:0.072573
[496]	train-error:0.072414	eval-error:0.072573
[497]	train-error:0.072432	eval-error:0.072663
[498]	train-error:0.072323	eval-error:0.072392
[499]	train-error:0.072341	eval-error:0.072392
[500]	train-error:0.072287	eval-error:0.072482
[501]	train-error:0.072287	eval-error:0.072482
[502]	train-error:0.072269	eval-error:0.072482
[503]	train-error:0.072305	eval-error:0.072482
[504]	train-error:0.072269	eval-error:0.072573
[505]	train-error:0.072251	eval-error:0.072663
[506]	train-error:0.072124	eval-error:0.072392
[507]	train-error:0.07207	eval-error:0.072301
[508]	train-error:0.07216	eval-error:0.072392
[509]	train-error:0.07207	eval-error:0.072211
[510]	train-error:0.072052	eval-error:0.072211
