id	line	column	filename	methodname	varname	vartype	else	return	right
1299	564	8	BaseTestConsumer.java	assertTerminated	THIS	BaseTestConsumer	0	DEF	$.done.getCount() != 0
1300	568	8	BaseTestConsumer.java	assertTerminated	c	long	0	DEF	$ > 1
1301	572	8	BaseTestConsumer.java	assertTerminated	s	int	0	DEF	$ > 1
1302	576	8	BaseTestConsumer.java	assertTerminated	c	long	0	DEF	$ != 0
1302	576	8	BaseTestConsumer.java	assertTerminated	s	int	0	DEF	$ != 0
1303	588	8	BaseTestConsumer.java	assertNotTerminated	THIS	BaseTestConsumer	0	DEF	$.done.getCount() == 0
1304	633	8	BaseTestConsumer.java	assertErrorMessage	s	int	1	DEF	$ == 0
1305	636	8	BaseTestConsumer.java	assertErrorMessage	s	int	1	DEF	$ == 1
1306	639	12	BaseTestConsumer.java	assertErrorMessage	errorMessage	String	0	DEF	ObjectHelper.equals(message, $)
1306	639	12	BaseTestConsumer.java	assertErrorMessage	message	String	0	DEF	ObjectHelper.equals($, errorMessage)
58176	664	8	BaseTestConsumer.java	getEvents	THIS	BaseTestConsumer	0	NIL-FOR	i < $.completions
58176	664	8	BaseTestConsumer.java	getEvents	i	long	0	NIL-FOR	$ < completions
1307	759	12	BaseTestConsumer.java	awaitDone	THIS	BaseTestConsumer	0	DEF	$.done.await(time, unit)
1307	759	12	BaseTestConsumer.java	awaitDone	time	long	0	DEF	done.await($, unit)
1307	759	12	BaseTestConsumer.java	awaitDone	unit	TimeUnit	0	DEF	done.await(time, $)
1308	910	12	BaseTestConsumer.java	awaitCount	start	long	0	DEF	System.currentTimeMillis() - $ >= timeoutMillis
1308	910	12	BaseTestConsumer.java	awaitCount	timeoutMillis	long	0	DEF	$ > 0L
1308	910	12	BaseTestConsumer.java	awaitCount	timeoutMillis	long	0	DEF	System.currentTimeMillis() - start >= $
1309	914	12	BaseTestConsumer.java	awaitCount	THIS	BaseTestConsumer	0	DEF	$.done.getCount() == 0L
1310	917	12	BaseTestConsumer.java	awaitCount	THIS	BaseTestConsumer	0	DEF	$.values.size() >= atLeast
1310	917	12	BaseTestConsumer.java	awaitCount	atLeast	int	0	DEF	values.size() >= $
1311	959	8	BaseTestConsumer.java	assertTimeout	THIS	BaseTestConsumer	0	DEF	$.timeout
1312	974	8	BaseTestConsumer.java	assertNoTimeout	THIS	BaseTestConsumer	0	DEF	$.timeout
456	57	8	BasicFuseableConditionalSubscriber.java	onSubscribe	THIS	BasicFuseableConditionalSubscriber	0	DEF	$.SubscriptionHelper.validate($.s, s)
456	57	8	BasicFuseableConditionalSubscriber.java	onSubscribe	s	Subscription	0	DEF	SubscriptionHelper.validate(this.s, $)
457	60	12	BasicFuseableConditionalSubscriber.java	onSubscribe	s	Subscription	0	DEF	$ instanceof QueueSubscription
458	64	12	BasicFuseableConditionalSubscriber.java	onSubscribe	THIS	BasicFuseableConditionalSubscriber	0	DEF	$.beforeDownstream()
459	95	8	BasicFuseableConditionalSubscriber.java	onError	THIS	BasicFuseableConditionalSubscriber	0	RET	$.done
460	115	8	BasicFuseableConditionalSubscriber.java	onComplete	THIS	BasicFuseableConditionalSubscriber	0	RET	$.done
461	134	8	BasicFuseableConditionalSubscriber.java	transitiveBoundaryFusion	qs	QueueSubscription<T>	0	RET	$ != null
462	135	12	BasicFuseableConditionalSubscriber.java	transitiveBoundaryFusion	mode	int	0	RET	($ & BOUNDARY) == 0
